"Step","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_9_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_9_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_9_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_8_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_8_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_8_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_7_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_7_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_7_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_6_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_6_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_6_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_5_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_5_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_5_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_4_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_4_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_4_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_3_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_3_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_3_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_2_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_2_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_2_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_1_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_1_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_1_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_0_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_0_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_100_trial_0_contcorrect_True - current_best_fitness__MAX"
"0","-75.4000015258789","-75.4000015258789","-75.4000015258789","-86.30000305175781","-86.30000305175781","-86.30000305175781","-86.9000015258789","-86.9000015258789","-86.9000015258789","-82.55000305175781","-82.55000305175781","-82.55000305175781","-90.95000457763672","-90.95000457763672","-90.95000457763672","-91.6500015258789","-91.6500015258789","-91.6500015258789","-80.70000457763672","-80.70000457763672","-80.70000457763672","-85.8499984741211","-85.8499984741211","-85.8499984741211","-93.80000305175781","-93.80000305175781","-93.80000305175781","-87.75","-87.75","-87.75"
"3","-78.0999984741211","-78.0999984741211","-78.0999984741211","-82.3499984741211","-82.3499984741211","-82.3499984741211","-80.5999984741211","-80.5999984741211","-80.5999984741211","-79.4000015258789","-79.4000015258789","-79.4000015258789","-84.45000457763672","-84.45000457763672","-84.45000457763672","-86.20000457763672","-86.20000457763672","-86.20000457763672","-81.4000015258789","-81.4000015258789","-81.4000015258789","-80.3499984741211","-80.3499984741211","-80.3499984741211","-85.25","-85.25","-85.25","-84.5","-84.5","-84.5"
"4","-80.1500015258789","-80.1500015258789","-80.1500015258789","-82.3499984741211","-82.3499984741211","-82.3499984741211","-81.6500015258789","-81.6500015258789","-81.6500015258789","-80.45000457763672","-80.45000457763672","-80.45000457763672","-82.95000457763672","-82.95000457763672","-82.95000457763672","-80.8499984741211","-80.8499984741211","-80.8499984741211","-83.05000305175781","-83.05000305175781","-83.05000305175781","-78.5","-78.5","-78.5","-83.75","-83.75","-83.75","-87.80000305175781","-87.80000305175781","-87.80000305175781"
"5","-73.75","-73.75","-73.75","-79.45000457763672","-79.45000457763672","-79.45000457763672","-76.70000457763672","-76.70000457763672","-76.70000457763672","-77.20000457763672","-77.20000457763672","-77.20000457763672","-77.3499984741211","-77.3499984741211","-77.3499984741211","-78.75","-78.75","-78.75","-82.9000015258789","-82.9000015258789","-82.9000015258789","-76.75","-76.75","-76.75","-81.5999984741211","-81.5999984741211","-81.5999984741211","-79.45000457763672","-79.45000457763672","-79.45000457763672"
"9","-74.70000457763672","-74.70000457763672","-74.70000457763672","-74.75","-74.75","-74.75","-73.5","-73.5","-73.5","-77.80000305175781","-77.80000305175781","-77.80000305175781","-72.45000457763672","-72.45000457763672","-72.45000457763672","-78.5999984741211","-78.5999984741211","-78.5999984741211","-76.6500015258789","-76.6500015258789","-76.6500015258789","-71.20000457763672","-71.20000457763672","-71.20000457763672","-71","-71","-71","-79.30000305175781","-79.30000305175781","-79.30000305175781"
"11","-75.70000457763672","-75.70000457763672","-75.70000457763672","-75.3499984741211","-75.3499984741211","-75.3499984741211","-76.4000015258789","-76.4000015258789","-76.4000015258789","-75.5","-75.5","-75.5","-77.75","-77.75","-77.75","-74.4000015258789","-74.4000015258789","-74.4000015258789","-77.20000457763672","-77.20000457763672","-77.20000457763672","-71.8499984741211","-71.8499984741211","-71.8499984741211","-72.75","-72.75","-72.75","-76.5","-76.5","-76.5"
"14","-73.20000457763672","-73.20000457763672","-73.20000457763672","-70.6500015258789","-70.6500015258789","-70.6500015258789","-73.9000015258789","-73.9000015258789","-73.9000015258789","-75.20000457763672","-75.20000457763672","-75.20000457763672","-74.5","-74.5","-74.5","-72.80000305175781","-72.80000305175781","-72.80000305175781","-74.9000015258789","-74.9000015258789","-74.9000015258789","-70.9000015258789","-70.9000015258789","-70.9000015258789","-76.9000015258789","-76.9000015258789","-76.9000015258789","-75","-75","-75"
"16","-74.70000457763672","-74.70000457763672","-74.70000457763672","-75.0999984741211","-75.0999984741211","-75.0999984741211","-74.05000305175781","-74.05000305175781","-74.05000305175781","-73.95000457763672","-73.95000457763672","-73.95000457763672","-76.4000015258789","-76.4000015258789","-76.4000015258789","-72.5","-72.5","-72.5","-71.6500015258789","-71.6500015258789","-71.6500015258789","-76.75","-76.75","-76.75","-74","-74","-74","-77.5","-77.5","-77.5"
"17","-74.0999984741211","-74.0999984741211","-74.0999984741211","-75.4000015258789","-75.4000015258789","-75.4000015258789","-74.05000305175781","-74.05000305175781","-74.05000305175781","-74.5","-74.5","-74.5","-74.9000015258789","-74.9000015258789","-74.9000015258789","-75.80000305175781","-75.80000305175781","-75.80000305175781","-74.6500015258789","-74.6500015258789","-74.6500015258789","-74.80000305175781","-74.80000305175781","-74.80000305175781","-77","-77","-77","-75.20000457763672","-75.20000457763672","-75.20000457763672"
"18","-74.1500015258789","-74.1500015258789","-74.1500015258789","-76.3499984741211","-76.3499984741211","-76.3499984741211","-75.20000457763672","-75.20000457763672","-75.20000457763672","-74.95000457763672","-74.95000457763672","-74.95000457763672","-74.0999984741211","-74.0999984741211","-74.0999984741211","-73.1500015258789","-73.1500015258789","-73.1500015258789","-75.75","-75.75","-75.75","-76.1500015258789","-76.1500015258789","-76.1500015258789","-74.75","-74.75","-74.75","-75.4000015258789","-75.4000015258789","-75.4000015258789"
"19","-77","-77","-77","-73.9000015258789","-73.9000015258789","-73.9000015258789","-75.55000305175781","-75.55000305175781","-75.55000305175781","-75.55000305175781","-75.55000305175781","-75.55000305175781","-74.30000305175781","-74.30000305175781","-74.30000305175781","-70.9000015258789","-70.9000015258789","-70.9000015258789","-76.5","-76.5","-76.5","-74.25","-74.25","-74.25","-73","-73","-73","-72.70000457763672","-72.70000457763672","-72.70000457763672"
"21","-73.9000015258789","-73.9000015258789","-73.9000015258789","-74.4000015258789","-74.4000015258789","-74.4000015258789","-76.6500015258789","-76.6500015258789","-76.6500015258789","-75.1500015258789","-75.1500015258789","-75.1500015258789","-72.5999984741211","-72.5999984741211","-72.5999984741211","-73.45000457763672","-73.45000457763672","-73.45000457763672","-75.95000457763672","-75.95000457763672","-75.95000457763672","-75.5999984741211","-75.5999984741211","-75.5999984741211","-75.0999984741211","-75.0999984741211","-75.0999984741211","-77.6500015258789","-77.6500015258789","-77.6500015258789"
