"Step","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_9_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_9_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_9_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_8_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_8_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_8_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_7_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_7_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_7_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_6_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_6_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_6_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_5_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_5_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_5_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_4_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_4_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_4_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_3_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_3_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_3_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_2_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_2_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_2_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_1_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_1_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_1_contcorrect_True - current_best_fitness__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_0_contcorrect_True - current_best_fitness","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_0_contcorrect_True - current_best_fitness__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_5_trial_0_contcorrect_True - current_best_fitness__MAX"
"0","-93.30000305175781","-93.30000305175781","-93.30000305175781","-81.3499984741211","-81.3499984741211","-81.3499984741211","-78.6500015258789","-78.6500015258789","-78.6500015258789","-82.70000457763672","-82.70000457763672","-82.70000457763672","-77.55000305175781","-77.55000305175781","-77.55000305175781","-81.9000015258789","-81.9000015258789","-81.9000015258789","-83.30000305175781","-83.30000305175781","-83.30000305175781","-82.3499984741211","-82.3499984741211","-82.3499984741211","-100.9000015258789","-100.9000015258789","-100.9000015258789","-88.45000457763672","-88.45000457763672","-88.45000457763672"
"3","-86.1500015258789","-86.1500015258789","-86.1500015258789","-78","-78","-78","-84.45000457763672","-84.45000457763672","-84.45000457763672","-75.0999984741211","-75.0999984741211","-75.0999984741211","-80.6500015258789","-80.6500015258789","-80.6500015258789","-83.80000305175781","-83.80000305175781","-83.80000305175781","-82.55000305175781","-82.55000305175781","-82.55000305175781","-73.45000457763672","-73.45000457763672","-73.45000457763672","-84.80000305175781","-84.80000305175781","-84.80000305175781","-80.3499984741211","-80.3499984741211","-80.3499984741211"
"4","-83.1500015258789","-83.1500015258789","-83.1500015258789","-80","-80","-80","-81.9000015258789","-81.9000015258789","-81.9000015258789","-75.75","-75.75","-75.75","-76.25","-76.25","-76.25","-79.0999984741211","-79.0999984741211","-79.0999984741211","-76.5","-76.5","-76.5","-73.0999984741211","-73.0999984741211","-73.0999984741211","-77.25","-77.25","-77.25","-75.80000305175781","-75.80000305175781","-75.80000305175781"
"5","-77.5","-77.5","-77.5","-83.1500015258789","-83.1500015258789","-83.1500015258789","-88.45000457763672","-88.45000457763672","-88.45000457763672","-80.5","-80.5","-80.5","-84.9000015258789","-84.9000015258789","-84.9000015258789","-83.8499984741211","-83.8499984741211","-83.8499984741211","-74.5999984741211","-74.5999984741211","-74.5999984741211","-80.20000457763672","-80.20000457763672","-80.20000457763672","-91.05000305175781","-91.05000305175781","-91.05000305175781","-74.30000305175781","-74.30000305175781","-74.30000305175781"
"9","-79.9000015258789","-79.9000015258789","-79.9000015258789","-78.55000305175781","-78.55000305175781","-78.55000305175781","-80.20000457763672","-80.20000457763672","-80.20000457763672","-78.55000305175781","-78.55000305175781","-78.55000305175781","-77.0999984741211","-77.0999984741211","-77.0999984741211","-80.4000015258789","-80.4000015258789","-80.4000015258789","-76.45000457763672","-76.45000457763672","-76.45000457763672","-74.45000457763672","-74.45000457763672","-74.45000457763672","-80.4000015258789","-80.4000015258789","-80.4000015258789","-76.75","-76.75","-76.75"
"11","-76.9000015258789","-76.9000015258789","-76.9000015258789","-78.95000457763672","-78.95000457763672","-78.95000457763672","-79.9000015258789","-79.9000015258789","-79.9000015258789","-73.5999984741211","-73.5999984741211","-73.5999984741211","-74.20000457763672","-74.20000457763672","-74.20000457763672","-76.30000305175781","-76.30000305175781","-76.30000305175781","-75.5999984741211","-75.5999984741211","-75.5999984741211","-78.30000305175781","-78.30000305175781","-78.30000305175781","-75.8499984741211","-75.8499984741211","-75.8499984741211","-78.70000457763672","-78.70000457763672","-78.70000457763672"
"14","-72.4000015258789","-72.4000015258789","-72.4000015258789","-75.80000305175781","-75.80000305175781","-75.80000305175781","-80.8499984741211","-80.8499984741211","-80.8499984741211","-72.95000457763672","-72.95000457763672","-72.95000457763672","-74.25","-74.25","-74.25","-73.30000305175781","-73.30000305175781","-73.30000305175781","-77","-77","-77","-78.5999984741211","-78.5999984741211","-78.5999984741211","-78.5","-78.5","-78.5","-84.9000015258789","-84.9000015258789","-84.9000015258789"
"16","-77.1500015258789","-77.1500015258789","-77.1500015258789","-74.75","-74.75","-74.75","-75.5","-75.5","-75.5","-77.45000457763672","-77.45000457763672","-77.45000457763672","-74.5999984741211","-74.5999984741211","-74.5999984741211","-76.95000457763672","-76.95000457763672","-76.95000457763672","-76.9000015258789","-76.9000015258789","-76.9000015258789","-77.75","-77.75","-77.75","-74.5999984741211","-74.5999984741211","-74.5999984741211","-75.5","-75.5","-75.5"
"17","-77.70000457763672","-77.70000457763672","-77.70000457763672","-73.5999984741211","-73.5999984741211","-73.5999984741211","-77.8499984741211","-77.8499984741211","-77.8499984741211","-76.9000015258789","-76.9000015258789","-76.9000015258789","-76.9000015258789","-76.9000015258789","-76.9000015258789","-76.45000457763672","-76.45000457763672","-76.45000457763672","-76.0999984741211","-76.0999984741211","-76.0999984741211","-77.5999984741211","-77.5999984741211","-77.5999984741211","-76.30000305175781","-76.30000305175781","-76.30000305175781","-76.95000457763672","-76.95000457763672","-76.95000457763672"
"18","-74.55000305175781","-74.55000305175781","-74.55000305175781","-77.4000015258789","-77.4000015258789","-77.4000015258789","-78.1500015258789","-78.1500015258789","-78.1500015258789","-73.45000457763672","-73.45000457763672","-73.45000457763672","-77.1500015258789","-77.1500015258789","-77.1500015258789","-71.95000457763672","-71.95000457763672","-71.95000457763672","-76.5","-76.5","-76.5","-74.5","-74.5","-74.5","-77.25","-77.25","-77.25","-74.20000457763672","-74.20000457763672","-74.20000457763672"
"19","-76.0999984741211","-76.0999984741211","-76.0999984741211","-76.4000015258789","-76.4000015258789","-76.4000015258789","-75.6500015258789","-75.6500015258789","-75.6500015258789","-77.1500015258789","-77.1500015258789","-77.1500015258789","-77.3499984741211","-77.3499984741211","-77.3499984741211","-74.6500015258789","-74.6500015258789","-74.6500015258789","-74.30000305175781","-74.30000305175781","-74.30000305175781","-75.80000305175781","-75.80000305175781","-75.80000305175781","-75.45000457763672","-75.45000457763672","-75.45000457763672","-73.9000015258789","-73.9000015258789","-73.9000015258789"
