"Step","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_9_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_9_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_9_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_8_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_8_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_8_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_7_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_7_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_7_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_6_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_6_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_6_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_5_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_5_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_5_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_4_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_4_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_4_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_3_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_3_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_3_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_2_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_2_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_2_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_1_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_1_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_1_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_0_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_0_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_50_trial_0_contcorrect_True - diversity__MAX"
"0","22.489093780517578","22.489093780517578","22.489093780517578","22.497356414794922","22.497356414794922","22.497356414794922","22.442096710205078","22.442096710205078","22.442096710205078","22.481882095336914","22.481882095336914","22.481882095336914","22.556529998779297","22.556529998779297","22.556529998779297","22.41204071044922","22.41204071044922","22.41204071044922","22.566123962402344","22.566123962402344","22.566123962402344","22.467926025390625","22.467926025390625","22.467926025390625","22.522451400756836","22.522451400756836","22.522451400756836","22.510705947875977","22.510705947875977","22.510705947875977"
"3","31.806055068969727","31.806055068969727","31.806055068969727","31.7613525390625","31.7613525390625","31.7613525390625","30.569368362426758","30.569368362426758","30.569368362426758","31.023277282714844","31.023277282714844","31.023277282714844","31.18390655517578","31.18390655517578","31.18390655517578","31.3740177154541","31.3740177154541","31.3740177154541","31.38326644897461","31.38326644897461","31.38326644897461","31.938953399658203","31.938953399658203","31.938953399658203","31.096651077270508","31.096651077270508","31.096651077270508","30.659685134887695","30.659685134887695","30.659685134887695"
"4","32.202213287353516","32.202213287353516","32.202213287353516","32.6043586730957","32.6043586730957","32.6043586730957","32.01054763793945","32.01054763793945","32.01054763793945","31.991912841796875","31.991912841796875","31.991912841796875","31.97783660888672","31.97783660888672","31.97783660888672","31.750226974487305","31.750226974487305","31.750226974487305","31.758037567138672","31.758037567138672","31.758037567138672","32.549251556396484","32.549251556396484","32.549251556396484","31.96596336364746","31.96596336364746","31.96596336364746","31.947772979736328","31.947772979736328","31.947772979736328"
"5","33.44414138793945","33.44414138793945","33.44414138793945","33.13029098510742","33.13029098510742","33.13029098510742","33.65199661254883","33.65199661254883","33.65199661254883","33.631629943847656","33.631629943847656","33.631629943847656","33.16964340209961","33.16964340209961","33.16964340209961","33.57872009277344","33.57872009277344","33.57872009277344","33.225399017333984","33.225399017333984","33.225399017333984","32.64621353149414","32.64621353149414","32.64621353149414","33.528682708740234","33.528682708740234","33.528682708740234","33.26481246948242","33.26481246948242","33.26481246948242"
"9","38.0023078918457","38.0023078918457","38.0023078918457","38.935707092285156","38.935707092285156","38.935707092285156","37.56565856933594","37.56565856933594","37.56565856933594","38.739994049072266","38.739994049072266","38.739994049072266","38.80896759033203","38.80896759033203","38.80896759033203","38.10823059082031","38.10823059082031","38.10823059082031","38.66371154785156","38.66371154785156","38.66371154785156","38.452510833740234","38.452510833740234","38.452510833740234","37.818843841552734","37.818843841552734","37.818843841552734","37.60332489013672","37.60332489013672","37.60332489013672"
"11","39.7230339050293","39.7230339050293","39.7230339050293","41.16205978393555","41.16205978393555","41.16205978393555","39.30705642700195","39.30705642700195","39.30705642700195","40.28098678588867","40.28098678588867","40.28098678588867","41.309539794921875","41.309539794921875","41.309539794921875","40.493141174316406","40.493141174316406","40.493141174316406","40.78460693359375","40.78460693359375","40.78460693359375","41.036407470703125","41.036407470703125","41.036407470703125","39.520484924316406","39.520484924316406","39.520484924316406","39.26948547363281","39.26948547363281","39.26948547363281"
"14","41.038330078125","41.038330078125","41.038330078125","43.493324279785156","43.493324279785156","43.493324279785156","41.86736297607422","41.86736297607422","41.86736297607422","43.18689727783203","43.18689727783203","43.18689727783203","44.0557975769043","44.0557975769043","44.0557975769043","42.665279388427734","42.665279388427734","42.665279388427734","44.45676040649414","44.45676040649414","44.45676040649414","43.31526565551758","43.31526565551758","43.31526565551758","42.39788818359375","42.39788818359375","42.39788818359375","41.533199310302734","41.533199310302734","41.533199310302734"
"16","42.900814056396484","42.900814056396484","42.900814056396484","44.71653366088867","44.71653366088867","44.71653366088867","42.57628631591797","42.57628631591797","42.57628631591797","44.876216888427734","44.876216888427734","44.876216888427734","45.14274215698242","45.14274215698242","45.14274215698242","43.433990478515625","43.433990478515625","43.433990478515625","45.68104934692383","45.68104934692383","45.68104934692383","45.04948806762695","45.04948806762695","45.04948806762695","43.41525650024414","43.41525650024414","43.41525650024414","42.69837951660156","42.69837951660156","42.69837951660156"
"17","43.31073760986328","43.31073760986328","43.31073760986328","45.16414260864258","45.16414260864258","45.16414260864258","43.62049865722656","43.62049865722656","43.62049865722656","44.929443359375","44.929443359375","44.929443359375","45.30848693847656","45.30848693847656","45.30848693847656","43.78031539916992","43.78031539916992","43.78031539916992","46.335819244384766","46.335819244384766","46.335819244384766","45.786441802978516","45.786441802978516","45.786441802978516","44.2557373046875","44.2557373046875","44.2557373046875","42.985538482666016","42.985538482666016","42.985538482666016"
"18","43.51125717163086","43.51125717163086","43.51125717163086","45.21211624145508","45.21211624145508","45.21211624145508","43.99447250366211","43.99447250366211","43.99447250366211","45.27033996582031","45.27033996582031","45.27033996582031","46.155052185058594","46.155052185058594","46.155052185058594","44.55685043334961","44.55685043334961","44.55685043334961","46.61196517944336","46.61196517944336","46.61196517944336","45.613433837890625","45.613433837890625","45.613433837890625","44.7757568359375","44.7757568359375","44.7757568359375","43.69073486328125","43.69073486328125","43.69073486328125"
"19","43.24854278564453","43.24854278564453","43.24854278564453","46.10612869262695","46.10612869262695","46.10612869262695","44.11345291137695","44.11345291137695","44.11345291137695","45.581634521484375","45.581634521484375","45.581634521484375","46.68558883666992","46.68558883666992","46.68558883666992","44.53504180908203","44.53504180908203","44.53504180908203","46.59690856933594","46.59690856933594","46.59690856933594","46.41244888305664","46.41244888305664","46.41244888305664","45.127315521240234","45.127315521240234","45.127315521240234","43.845638275146484","43.845638275146484","43.845638275146484"
