"Step","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_9_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_9_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_9_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_8_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_8_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_8_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_7_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_7_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_7_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_6_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_6_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_6_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_5_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_5_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_5_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_4_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_4_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_4_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_3_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_3_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_3_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_2_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_2_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_2_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_1_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_1_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_10_trial_1_contcorrect_True - diversity__MAX"
"0","21.18276596069336","21.18276596069336","21.18276596069336","21.121973037719727","21.121973037719727","21.121973037719727","21.188434600830078","21.188434600830078","21.188434600830078","21.201736450195312","21.201736450195312","21.201736450195312","21.180482864379883","21.180482864379883","21.180482864379883","21.193035125732422","21.193035125732422","21.193035125732422","21.183076858520508","21.183076858520508","21.183076858520508","21.129566192626953","21.129566192626953","21.129566192626953","21.17866325378418","21.17866325378418","21.17866325378418"
"3","28.90363121032715","28.90363121032715","28.90363121032715","28.904438018798828","28.904438018798828","28.904438018798828","28.660009384155273","28.660009384155273","28.660009384155273","29.00615692138672","29.00615692138672","29.00615692138672","29.08439826965332","29.08439826965332","29.08439826965332","29.181665420532227","29.181665420532227","29.181665420532227","29.15569305419922","29.15569305419922","29.15569305419922","28.933971405029297","28.933971405029297","28.933971405029297","28.777944564819336","28.777944564819336","28.777944564819336"
"4","30.2232608795166","30.2232608795166","30.2232608795166","30.141813278198242","30.141813278198242","30.141813278198242","29.94620704650879","29.94620704650879","29.94620704650879","30.710247039794922","30.710247039794922","30.710247039794922","30.36275291442871","30.36275291442871","30.36275291442871","30.802032470703125","30.802032470703125","30.802032470703125","30.349069595336914","30.349069595336914","30.349069595336914","30.29561424255371","30.29561424255371","30.29561424255371","30.394102096557617","30.394102096557617","30.394102096557617"
"5","31.27886390686035","31.27886390686035","31.27886390686035","31.16776466369629","31.16776466369629","31.16776466369629","31.192228317260742","31.192228317260742","31.192228317260742","31.878189086914062","31.878189086914062","31.878189086914062","31.482990264892578","31.482990264892578","31.482990264892578","31.80011558532715","31.80011558532715","31.80011558532715","31.85030174255371","31.85030174255371","31.85030174255371","31.780427932739258","31.780427932739258","31.780427932739258","31.371782302856445","31.371782302856445","31.371782302856445"
"9","35.163841247558594","35.163841247558594","35.163841247558594","34.449501037597656","34.449501037597656","34.449501037597656","34.696022033691406","34.696022033691406","34.696022033691406","34.56894302368164","34.56894302368164","34.56894302368164","35.317317962646484","35.317317962646484","35.317317962646484","35.44945526123047","35.44945526123047","35.44945526123047","34.96026611328125","34.96026611328125","34.96026611328125","34.14519119262695","34.14519119262695","34.14519119262695","34.640968322753906","34.640968322753906","34.640968322753906"
"11","35.66130447387695","35.66130447387695","35.66130447387695","34.920135498046875","34.920135498046875","34.920135498046875","35.41157913208008","35.41157913208008","35.41157913208008","35.37489700317383","35.37489700317383","35.37489700317383","36.32370376586914","36.32370376586914","36.32370376586914","36.23405838012695","36.23405838012695","36.23405838012695","35.76462936401367","35.76462936401367","35.76462936401367","35.334754943847656","35.334754943847656","35.334754943847656","36.04587936401367","36.04587936401367","36.04587936401367"
"14","36.55656051635742","36.55656051635742","36.55656051635742","35.457664489746094","35.457664489746094","35.457664489746094","35.44567108154297","35.44567108154297","35.44567108154297","36.24557113647461","36.24557113647461","36.24557113647461","38.07085418701172","38.07085418701172","38.07085418701172","37.07037353515625","37.07037353515625","37.07037353515625","36.33485412597656","36.33485412597656","36.33485412597656","36.03692626953125","36.03692626953125","36.03692626953125","36.71951675415039","36.71951675415039","36.71951675415039"
"16","37.97787094116211","37.97787094116211","37.97787094116211","35.81937026977539","35.81937026977539","35.81937026977539","35.30532455444336","35.30532455444336","35.30532455444336","38.07246780395508","38.07246780395508","38.07246780395508","39.30276870727539","39.30276870727539","39.30276870727539","37.48679733276367","37.48679733276367","37.48679733276367","37.133697509765625","37.133697509765625","37.133697509765625","37.34199905395508","37.34199905395508","37.34199905395508","37.83168029785156","37.83168029785156","37.83168029785156"
"17","38.61878967285156","38.61878967285156","38.61878967285156","36.172298431396484","36.172298431396484","36.172298431396484","35.1646842956543","35.1646842956543","35.1646842956543","38.1358757019043","38.1358757019043","38.1358757019043","40.61486053466797","40.61486053466797","40.61486053466797","37.74419403076172","37.74419403076172","37.74419403076172","37.51923370361328","37.51923370361328","37.51923370361328","37.78416061401367","37.78416061401367","37.78416061401367","38.2239875793457","38.2239875793457","38.2239875793457"
"18","40.08738327026367","40.08738327026367","40.08738327026367","37.11582565307617","37.11582565307617","37.11582565307617","35.29694366455078","35.29694366455078","35.29694366455078","39.21479034423828","39.21479034423828","39.21479034423828","40.79215621948242","40.79215621948242","40.79215621948242","37.84148406982422","37.84148406982422","37.84148406982422","38.60888671875","38.60888671875","38.60888671875","38.48828125","38.48828125","38.48828125","38.00014877319336","38.00014877319336","38.00014877319336"
"19","39.926055908203125","39.926055908203125","39.926055908203125","37.961727142333984","37.961727142333984","37.961727142333984","35.30852127075195","35.30852127075195","35.30852127075195","39.79718017578125","39.79718017578125","39.79718017578125","41.698509216308594","41.698509216308594","41.698509216308594","38.240882873535156","38.240882873535156","38.240882873535156","39.24061965942383","39.24061965942383","39.24061965942383","39.03558349609375","39.03558349609375","39.03558349609375","38.07371139526367","38.07371139526367","38.07371139526367"
