"Step","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_9_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_9_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_9_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_8_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_8_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_8_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_7_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_7_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_7_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_6_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_6_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_6_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_5_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_5_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_5_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_4_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_4_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_4_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_3_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_3_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_3_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_2_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_2_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_2_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_1_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_1_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_1_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_0_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_0_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_500_trial_0_contcorrect_True - diversity__MAX"
"0","21.18276596069336","21.18276596069336","21.18276596069336","21.121973037719727","21.121973037719727","21.121973037719727","21.188434600830078","21.188434600830078","21.188434600830078","21.201736450195312","21.201736450195312","21.201736450195312","21.180482864379883","21.180482864379883","21.180482864379883","21.193035125732422","21.193035125732422","21.193035125732422","21.183076858520508","21.183076858520508","21.183076858520508","21.129566192626953","21.129566192626953","21.129566192626953","21.17866325378418","21.17866325378418","21.17866325378418","21.224157333374023","21.224157333374023","21.224157333374023"
"3","29.07526397705078","29.07526397705078","29.07526397705078","29.019287109375","29.019287109375","29.019287109375","28.674118041992188","28.674118041992188","28.674118041992188","28.987215042114258","28.987215042114258","28.987215042114258","28.8958797454834","28.8958797454834","28.8958797454834","28.954490661621094","28.954490661621094","28.954490661621094","28.585796356201172","28.585796356201172","28.585796356201172","28.59129524230957","28.59129524230957","28.59129524230957","28.677000045776367","28.677000045776367","28.677000045776367","29.14269256591797","29.14269256591797","29.14269256591797"
"4","30.286651611328125","30.286651611328125","30.286651611328125","30.230213165283203","30.230213165283203","30.230213165283203","30.03047752380371","30.03047752380371","30.03047752380371","30.335466384887695","30.335466384887695","30.335466384887695","29.783641815185547","29.783641815185547","29.783641815185547","30.278627395629883","30.278627395629883","30.278627395629883","30.227195739746094","30.227195739746094","30.227195739746094","30.014888763427734","30.014888763427734","30.014888763427734","30.327360153198242","30.327360153198242","30.327360153198242","30.404544830322266","30.404544830322266","30.404544830322266"
"5","31.623897552490234","31.623897552490234","31.623897552490234","32.0009880065918","32.0009880065918","32.0009880065918","31.475704193115234","31.475704193115234","31.475704193115234","31.445377349853516","31.445377349853516","31.445377349853516","31.284122467041016","31.284122467041016","31.284122467041016","31.223493576049805","31.223493576049805","31.223493576049805","31.156442642211914","31.156442642211914","31.156442642211914","30.821325302124023","30.821325302124023","30.821325302124023","31.770021438598633","31.770021438598633","31.770021438598633","31.561229705810547","31.561229705810547","31.561229705810547"
"9","34.84051513671875","34.84051513671875","34.84051513671875","35.49251174926758","35.49251174926758","35.49251174926758","33.97018051147461","33.97018051147461","33.97018051147461","35.01106262207031","35.01106262207031","35.01106262207031","34.14051055908203","34.14051055908203","34.14051055908203","34.5753059387207","34.5753059387207","34.5753059387207","34.52474594116211","34.52474594116211","34.52474594116211","34.72737121582031","34.72737121582031","34.72737121582031","34.97163772583008","34.97163772583008","34.97163772583008","35.015235900878906","35.015235900878906","35.015235900878906"
"11","35.62892150878906","35.62892150878906","35.62892150878906","37.20283508300781","37.20283508300781","37.20283508300781","35.62995910644531","35.62995910644531","35.62995910644531","36.30709457397461","36.30709457397461","36.30709457397461","35.8578987121582","35.8578987121582","35.8578987121582","36.40031433105469","36.40031433105469","36.40031433105469","36.10630798339844","36.10630798339844","36.10630798339844","36.10136413574219","36.10136413574219","36.10136413574219","36.453155517578125","36.453155517578125","36.453155517578125","35.8256721496582","35.8256721496582","35.8256721496582"
"14","37.04426193237305","37.04426193237305","37.04426193237305","39.44334030151367","39.44334030151367","39.44334030151367","37.957763671875","37.957763671875","37.957763671875","38.18928909301758","38.18928909301758","38.18928909301758","37.44023513793945","37.44023513793945","37.44023513793945","38.481815338134766","38.481815338134766","38.481815338134766","38.1303596496582","38.1303596496582","38.1303596496582","38.36029052734375","38.36029052734375","38.36029052734375","39.29143142700195","39.29143142700195","39.29143142700195","37.29158401489258","37.29158401489258","37.29158401489258"
"16","37.847755432128906","37.847755432128906","37.847755432128906","40.70689392089844","40.70689392089844","40.70689392089844","39.167179107666016","39.167179107666016","39.167179107666016","39.137672424316406","39.137672424316406","39.137672424316406","38.27726745605469","38.27726745605469","38.27726745605469","38.94014358520508","38.94014358520508","38.94014358520508","39.809898376464844","39.809898376464844","39.809898376464844","39.81257247924805","39.81257247924805","39.81257247924805","40.81308364868164","40.81308364868164","40.81308364868164","38.77685546875","38.77685546875","38.77685546875"
"17","38.17683410644531","38.17683410644531","38.17683410644531","41.167152404785156","41.167152404785156","41.167152404785156","38.84850311279297","38.84850311279297","38.84850311279297","39.966434478759766","39.966434478759766","39.966434478759766","38.597312927246094","38.597312927246094","38.597312927246094","39.51601791381836","39.51601791381836","39.51601791381836","40.34197998046875","40.34197998046875","40.34197998046875","40.25264358520508","40.25264358520508","40.25264358520508","42.24668502807617","42.24668502807617","42.24668502807617","38.57294845581055","38.57294845581055","38.57294845581055"
"18","38.34322738647461","38.34322738647461","38.34322738647461","42.013267517089844","42.013267517089844","42.013267517089844","39.87554168701172","39.87554168701172","39.87554168701172","40.03101348876953","40.03101348876953","40.03101348876953","39.190826416015625","39.190826416015625","39.190826416015625","40.42342758178711","40.42342758178711","40.42342758178711","41.547096252441406","41.547096252441406","41.547096252441406","39.95624923706055","39.95624923706055","39.95624923706055","42.78413772583008","42.78413772583008","42.78413772583008","39.01925277709961","39.01925277709961","39.01925277709961"
"19","38.514976501464844","38.514976501464844","38.514976501464844","43.463409423828125","43.463409423828125","43.463409423828125","40.69949722290039","40.69949722290039","40.69949722290039","40.639625549316406","40.639625549316406","40.639625549316406","39.64616775512695","39.64616775512695","39.64616775512695","41.46903610229492","41.46903610229492","41.46903610229492","41.532081604003906","41.532081604003906","41.532081604003906","39.318241119384766","39.318241119384766","39.318241119384766","43.21290588378906","43.21290588378906","43.21290588378906","39.11952209472656","39.11952209472656","39.11952209472656"
