"Step","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_9_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_9_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_9_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_8_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_8_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_8_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_7_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_7_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_7_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_6_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_6_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_6_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_5_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_5_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_5_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_4_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_4_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_4_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_3_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_3_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_3_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_2_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_2_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_2_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_1_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_1_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_1_contcorrect_True - diversity__MAX","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_0_contcorrect_True - diversity","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_0_contcorrect_True - diversity__MIN","evosax_SimpleGA/generations_20000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5}_noise_range_1.0_perturbe_every_n_gens_1000_trial_0_contcorrect_True - diversity__MAX"
"0","20.751907348632812","20.751907348632812","20.751907348632812","20.82053565979004","20.82053565979004","20.82053565979004","20.81420135498047","20.81420135498047","20.81420135498047","20.707592010498047","20.707592010498047","20.707592010498047","20.76171875","20.76171875","20.76171875","20.82798957824707","20.82798957824707","20.82798957824707","20.797039031982422","20.797039031982422","20.797039031982422","20.70722198486328","20.70722198486328","20.70722198486328","20.76032257080078","20.76032257080078","20.76032257080078","20.769142150878906","20.769142150878906","20.769142150878906"
"3","31.280134201049805","31.280134201049805","31.280134201049805","31.356260299682617","31.356260299682617","31.356260299682617","31.28249168395996","31.28249168395996","31.28249168395996","31.148738861083984","31.148738861083984","31.148738861083984","31.19778823852539","31.19778823852539","31.19778823852539","31.287296295166016","31.287296295166016","31.287296295166016","31.29018783569336","31.29018783569336","31.29018783569336","30.96359634399414","30.96359634399414","30.96359634399414","31.427780151367188","31.427780151367188","31.427780151367188","31.426774978637695","31.426774978637695","31.426774978637695"
"4","34.128761291503906","34.128761291503906","34.128761291503906","34.07490539550781","34.07490539550781","34.07490539550781","33.87323760986328","33.87323760986328","33.87323760986328","33.898155212402344","33.898155212402344","33.898155212402344","34.060218811035156","34.060218811035156","34.060218811035156","34.02203369140625","34.02203369140625","34.02203369140625","34.05940246582031","34.05940246582031","34.05940246582031","33.709651947021484","33.709651947021484","33.709651947021484","34.08922576904297","34.08922576904297","34.08922576904297","34.13668441772461","34.13668441772461","34.13668441772461"
"5","36.5146484375","36.5146484375","36.5146484375","36.57585906982422","36.57585906982422","36.57585906982422","36.268943786621094","36.268943786621094","36.268943786621094","36.47072982788086","36.47072982788086","36.47072982788086","36.50425338745117","36.50425338745117","36.50425338745117","36.48904037475586","36.48904037475586","36.48904037475586","36.45499801635742","36.45499801635742","36.45499801635742","36.28508758544922","36.28508758544922","36.28508758544922","36.72074508666992","36.72074508666992","36.72074508666992","36.61641311645508","36.61641311645508","36.61641311645508"
"9","44.764400482177734","44.764400482177734","44.764400482177734","45.28448486328125","45.28448486328125","45.28448486328125","44.522037506103516","44.522037506103516","44.522037506103516","44.99892807006836","44.99892807006836","44.99892807006836","45.067169189453125","45.067169189453125","45.067169189453125","45.068511962890625","45.068511962890625","45.068511962890625","45.090232849121094","45.090232849121094","45.090232849121094","44.77545166015625","44.77545166015625","44.77545166015625","45.339813232421875","45.339813232421875","45.339813232421875","45.1865119934082","45.1865119934082","45.1865119934082"
"11","48.1708869934082","48.1708869934082","48.1708869934082","48.91938781738281","48.91938781738281","48.91938781738281","47.61744689941406","47.61744689941406","47.61744689941406","48.66191482543945","48.66191482543945","48.66191482543945","48.56983947753906","48.56983947753906","48.56983947753906","48.97309875488281","48.97309875488281","48.97309875488281","48.89387512207031","48.89387512207031","48.89387512207031","48.25349044799805","48.25349044799805","48.25349044799805","48.902950286865234","48.902950286865234","48.902950286865234","48.60540008544922","48.60540008544922","48.60540008544922"
"14","52.91758728027344","52.91758728027344","52.91758728027344","53.745765686035156","53.745765686035156","53.745765686035156","51.689815521240234","51.689815521240234","51.689815521240234","53.47773361206055","53.47773361206055","53.47773361206055","53.4543571472168","53.4543571472168","53.4543571472168","53.9837532043457","53.9837532043457","53.9837532043457","54.055763244628906","54.055763244628906","54.055763244628906","53.10446548461914","53.10446548461914","53.10446548461914","53.955867767333984","53.955867767333984","53.955867767333984","53.41025161743164","53.41025161743164","53.41025161743164"
"16","55.274627685546875","55.274627685546875","55.274627685546875","56.75859451293945","56.75859451293945","56.75859451293945","53.16312026977539","53.16312026977539","53.16312026977539","56.645347595214844","56.645347595214844","56.645347595214844","57.27309799194336","57.27309799194336","57.27309799194336","56.93476486206055","56.93476486206055","56.93476486206055","57.279170989990234","57.279170989990234","57.279170989990234","56.38597106933594","56.38597106933594","56.38597106933594","57.31723403930664","57.31723403930664","57.31723403930664","56.49688720703125","56.49688720703125","56.49688720703125"
"17","56.56122970581055","56.56122970581055","56.56122970581055","58.0142822265625","58.0142822265625","58.0142822265625","53.86507797241211","53.86507797241211","53.86507797241211","57.912166595458984","57.912166595458984","57.912166595458984","58.763427734375","58.763427734375","58.763427734375","58.615230560302734","58.615230560302734","58.615230560302734","58.49814987182617","58.49814987182617","58.49814987182617","57.999473571777344","57.999473571777344","57.999473571777344","58.89567947387695","58.89567947387695","58.89567947387695","58.397743225097656","58.397743225097656","58.397743225097656"
"18","57.79248809814453","57.79248809814453","57.79248809814453","58.82123565673828","58.82123565673828","58.82123565673828","53.76769256591797","53.76769256591797","53.76769256591797","59.443138122558594","59.443138122558594","59.443138122558594","60.37040328979492","60.37040328979492","60.37040328979492","59.864410400390625","59.864410400390625","59.864410400390625","59.821136474609375","59.821136474609375","59.821136474609375","59.396053314208984","59.396053314208984","59.396053314208984","60.51666259765625","60.51666259765625","60.51666259765625","59.70506286621094","59.70506286621094","59.70506286621094"
"19","58.89723587036133","58.89723587036133","58.89723587036133","60.5874137878418","60.5874137878418","60.5874137878418","54.560367584228516","54.560367584228516","54.560367584228516","60.52067184448242","60.52067184448242","60.52067184448242","61.30693435668945","61.30693435668945","61.30693435668945","61.53581237792969","61.53581237792969","61.53581237792969","61.29621887207031","61.29621887207031","61.29621887207031","60.58892822265625","60.58892822265625","60.58892822265625","61.806304931640625","61.806304931640625","61.806304931640625","60.7608528137207","60.7608528137207","60.7608528137207"
"21","62.34044647216797","62.34044647216797","62.34044647216797","62.72766876220703","62.72766876220703","62.72766876220703","57.29535675048828","57.29535675048828","57.29535675048828","63.01237487792969","63.01237487792969","63.01237487792969","64.34683990478516","64.34683990478516","64.34683990478516","64.2608642578125","64.2608642578125","64.2608642578125","63.721458435058594","63.721458435058594","63.721458435058594","62.805545806884766","62.805545806884766","62.805545806884766","64.16593170166016","64.16593170166016","64.16593170166016","62.044498443603516","62.044498443603516","62.044498443603516"
"25","65.16239929199219","65.16239929199219","65.16239929199219","66.47122192382812","66.47122192382812","66.47122192382812","56.831748962402344","56.831748962402344","56.831748962402344","67.5480728149414","67.5480728149414","67.5480728149414","69.73900604248047","69.73900604248047","69.73900604248047","69.26026153564453","69.26026153564453","69.26026153564453","68.4516830444336","68.4516830444336","68.4516830444336","66.76722717285156","66.76722717285156","66.76722717285156","68.78851318359375","68.78851318359375","68.78851318359375","64.67688751220703","64.67688751220703","64.67688751220703"
"26","65.65017700195312","65.65017700195312","65.65017700195312","67.03620910644531","67.03620910644531","67.03620910644531","56.071956634521484","56.071956634521484","56.071956634521484","69.26175689697266","69.26175689697266","69.26175689697266","70.82188415527344","70.82188415527344","70.82188415527344","70.65577697753906","70.65577697753906","70.65577697753906","69.59420013427734","69.59420013427734","69.59420013427734","67.59648132324219","67.59648132324219","67.59648132324219","69.76677703857422","69.76677703857422","69.76677703857422","64.8604736328125","64.8604736328125","64.8604736328125"
"27","67.10407257080078","67.10407257080078","67.10407257080078","66.38860321044922","66.38860321044922","66.38860321044922","55.414730072021484","55.414730072021484","55.414730072021484","70.56399536132812","70.56399536132812","70.56399536132812","71.88339233398438","71.88339233398438","71.88339233398438","71.85468292236328","71.85468292236328","71.85468292236328","70.49795532226562","70.49795532226562","70.49795532226562","68.05574035644531","68.05574035644531","68.05574035644531","71.1541748046875","71.1541748046875","71.1541748046875","64.86930847167969","64.86930847167969","64.86930847167969"
"33","71.17863464355469","71.17863464355469","71.17863464355469","67.43814086914062","67.43814086914062","67.43814086914062","55.58016586303711","55.58016586303711","55.58016586303711","75.34039306640625","75.34039306640625","75.34039306640625","78.76797485351562","78.76797485351562","78.76797485351562","78.53569793701172","78.53569793701172","78.53569793701172","75.73400115966797","75.73400115966797","75.73400115966797","73.9305191040039","73.9305191040039","73.9305191040039","77.44741821289062","77.44741821289062","77.44741821289062","63.77936935424805","63.77936935424805","63.77936935424805"
"34","71.27117919921875","71.27117919921875","71.27117919921875","67.97489166259766","67.97489166259766","67.97489166259766","54.36466598510742","54.36466598510742","54.36466598510742","75.34075164794922","75.34075164794922","75.34075164794922","79.63082122802734","79.63082122802734","79.63082122802734","79.77302551269531","79.77302551269531","79.77302551269531","76.81275939941406","76.81275939941406","76.81275939941406","74.06158447265625","74.06158447265625","74.06158447265625","78.76280975341797","78.76280975341797","78.76280975341797","61.25384521484375","61.25384521484375","61.25384521484375"
"35","72.32628631591797","72.32628631591797","72.32628631591797","66.14138793945312","66.14138793945312","66.14138793945312","53.564640045166016","53.564640045166016","53.564640045166016","76.5586166381836","76.5586166381836","76.5586166381836","80.57608032226562","80.57608032226562","80.57608032226562","80.8038558959961","80.8038558959961","80.8038558959961","77.90152740478516","77.90152740478516","77.90152740478516","74.2951431274414","74.2951431274414","74.2951431274414","79.84391784667969","79.84391784667969","79.84391784667969","58.32218551635742","58.32218551635742","58.32218551635742"
"36","72.60690307617188","72.60690307617188","72.60690307617188","64.75346374511719","64.75346374511719","64.75346374511719","54.18593978881836","54.18593978881836","54.18593978881836","76.59883880615234","76.59883880615234","76.59883880615234","81.05158233642578","81.05158233642578","81.05158233642578","81.9623794555664","81.9623794555664","81.9623794555664","78.53012084960938","78.53012084960938","78.53012084960938","76.19349670410156","76.19349670410156","76.19349670410156","80.39338684082031","80.39338684082031","80.39338684082031","57.4632453918457","57.4632453918457","57.4632453918457"
"39","73.31904602050781","73.31904602050781","73.31904602050781","62.3416633605957","62.3416633605957","62.3416633605957","52.56638717651367","52.56638717651367","52.56638717651367","78.08541870117188","78.08541870117188","78.08541870117188","84.18572235107422","84.18572235107422","84.18572235107422","84.5816879272461","84.5816879272461","84.5816879272461","80.58370208740234","80.58370208740234","80.58370208740234","77.5031967163086","77.5031967163086","77.5031967163086","84.12966918945312","84.12966918945312","84.12966918945312","49.833797454833984","49.833797454833984","49.833797454833984"
"42","73.79146575927734","73.79146575927734","73.79146575927734","56.68638610839844","56.68638610839844","56.68638610839844","51.75382995605469","51.75382995605469","51.75382995605469","80.23999786376953","80.23999786376953","80.23999786376953","85.90058898925781","85.90058898925781","85.90058898925781","87.68875122070312","87.68875122070312","87.68875122070312","81.90989685058594","81.90989685058594","81.90989685058594","80.15040588378906","80.15040588378906","80.15040588378906","85.39079284667969","85.39079284667969","85.39079284667969","46.49740982055664","46.49740982055664","46.49740982055664"
"44","71.86448669433594","71.86448669433594","71.86448669433594","58.55763244628906","58.55763244628906","58.55763244628906","49.973758697509766","49.973758697509766","49.973758697509766","79.92221069335938","79.92221069335938","79.92221069335938","87.33771514892578","87.33771514892578","87.33771514892578","88.54473114013672","88.54473114013672","88.54473114013672","82.41170501708984","82.41170501708984","82.41170501708984","80.72760772705078","80.72760772705078","80.72760772705078","87.24805450439453","87.24805450439453","87.24805450439453","45.80750274658203","45.80750274658203","45.80750274658203"
"45","73.75729370117188","73.75729370117188","73.75729370117188","58.06460189819336","58.06460189819336","58.06460189819336","50.748714447021484","50.748714447021484","50.748714447021484","81.90760803222656","81.90760803222656","81.90760803222656","88.11949157714844","88.11949157714844","88.11949157714844","89.21163940429688","89.21163940429688","89.21163940429688","81.92664337158203","81.92664337158203","81.92664337158203","79.78892517089844","79.78892517089844","79.78892517089844","87.35755157470703","87.35755157470703","87.35755157470703","45.10348892211914","45.10348892211914","45.10348892211914"
"46","72.93675231933594","72.93675231933594","72.93675231933594","57.86983108520508","57.86983108520508","57.86983108520508","51.7890625","51.7890625","51.7890625","81.89160919189453","81.89160919189453","81.89160919189453","88.51880645751953","88.51880645751953","88.51880645751953","90.70890045166016","90.70890045166016","90.70890045166016","81.89999389648438","81.89999389648438","81.89999389648438","79.48536682128906","79.48536682128906","79.48536682128906","88.3812255859375","88.3812255859375","88.3812255859375","44.893775939941406","44.893775939941406","44.893775939941406"
"48","73.2884521484375","73.2884521484375","73.2884521484375","55.43936538696289","55.43936538696289","55.43936538696289","50.44988250732422","50.44988250732422","50.44988250732422","81.73954010009766","81.73954010009766","81.73954010009766","89.78585052490234","89.78585052490234","89.78585052490234","92.13404846191406","92.13404846191406","92.13404846191406","80.51700592041016","80.51700592041016","80.51700592041016","78.15267944335938","78.15267944335938","78.15267944335938","90.56029510498047","90.56029510498047","90.56029510498047","40.720176696777344","40.720176696777344","40.720176696777344"
